UNIX timestamp [s],Time UTC,Power [W]
1605174165,2020-11-12 09:42:45,-4.352689686564919
1605174225,2020-11-12 09:43:45,-4.349233310876929
1605174285,2020-11-12 09:44:45,-4.341098919023249
1605174345,2020-11-12 09:45:45,-4.343642982002509
1605174405,2020-11-12 09:46:45,-4.343958904687061
1605174465,2020-11-12 09:47:45,-4.349815115343956
1605174525,2020-11-12 09:48:45,-4.360680864186402
1605174585,2020-11-12 09:49:45,-4.3406916829138416
1605174645,2020-11-12 09:50:45,-4.3438111378210085
1605174705,2020-11-12 09:51:45,-4.347573794286628
1605174765,2020-11-12 09:52:45,-4.3527002655552485
1605174825,2020-11-12 09:53:45,-4.355964982199124
1605174885,2020-11-12 09:54:45,-4.343641289808212
1605174945,2020-11-12 09:55:45,-4.354879667562519
1605175005,2020-11-12 09:56:45,-4.354268544831868
1605175065,2020-11-12 09:57:45,-4.352754033256434
1605175125,2020-11-12 09:58:45,-4.343987457633712
1605175186,2020-11-12 09:59:46,-4.3418465118559695
1605175246,2020-11-12 10:00:46,-4.344122312430853
1605175306,2020-11-12 10:01:46,-4.356447877611755
1605175366,2020-11-12 10:02:46,-4.358927837272738
1605175426,2020-11-12 10:03:46,-4.354161936905481
1605175486,2020-11-12 10:04:46,-4.3525383426080255
1605175546,2020-11-12 10:05:46,-4.351559315350894
1605175606,2020-11-12 10:06:46,-4.34316655188009
1605175666,2020-11-12 10:07:46,-4.344654730617872
1605175726,2020-11-12 10:08:46,-4.334938840295249
1605175786,2020-11-12 10:09:46,-4.350587315119225
1605175846,2020-11-12 10:10:46,-4.351588286519965
1605175906,2020-11-12 10:11:46,-4.350699423103572
1605175966,2020-11-12 10:12:46,-4.357524375637453
1605176026,2020-11-12 10:13:46,-4.356561735479863
1605176086,2020-11-12 10:14:46,-4.35118468807908
1605176146,2020-11-12 10:15:46,-4.34963186809682
1605176206,2020-11-12 10:16:46,-4.352180756444203
1605176266,2020-11-12 10:17:46,-4.3451638369496
1605176326,2020-11-12 10:18:46,-4.337436005617602
1605176386,2020-11-12 10:19:46,-4.35440119698398
1605176446,2020-11-12 10:20:46,-4.363652641822026
1605176506,2020-11-12 10:21:46,-4.3325085954823574
1605176566,2020-11-12 10:22:46,-4.35682854913798
1605176627,2020-11-12 10:23:47,-4.322183994327515
1605176687,2020-11-12 10:24:47,-4.3343977250963235
1605176747,2020-11-12 10:25:47,-4.353595518554722
1605176807,2020-11-12 10:26:47,-4.321955178376189
1605176867,2020-11-12 10:27:47,-4.343965122144543
1605176927,2020-11-12 10:28:47,-4.354721744133656
1605176987,2020-11-12 10:29:47,-4.3481316124180545
1605177047,2020-11-12 10:30:47,-4.368939115405295
1605177107,2020-11-12 10:31:47,-4.355491819051133
1605177167,2020-11-12 10:32:47,-4.344822104523426
1605177227,2020-11-12 10:33:47,-4.349747450992107
1605177287,2020-11-12 10:34:47,-4.358392993569318
1605177347,2020-11-12 10:35:47,-4.337504292821113
1605177407,2020-11-12 10:36:47,-4.335543016526246
